frame_path,label,split,dataset
outputs\frames\rlvs\train\violence\V_538\V_538_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos529_x264_65710.png,0,train,ucf
datasets\ucf_crime\Train\Abuse\Abuse042_x264_9180.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos544_x264_48130.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_437\V_437_f00001.jpg,1,train,rlvs
outputs\frames\rlvs\train\violence\V_896\V_896_f00002.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_718\NV_718_f00001.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_699970.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized563\Weaponized563_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\Abuse\Abuse033_x264_2800.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting019_x264_2110.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_997\NV_997_f00002.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos415_x264_12040.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_189\V_189_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting046_x264_1960.png,1,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos714_x264_39900.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_204\V_204_f00000.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_409\NV_409_f00002.jpg,0,train,rlvs
outputs\frames\scvd\train\violence\Weaponized156\Weaponized156_f00000.jpg,1,train,scvd
outputs\frames\rlvs\train\nonviolence\NV_182\NV_182_f00001.jpg,0,train,rlvs
outputs\frames\scvd\train\violence\Violence322\Violence322_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\nonviolence\Normal647\Normal647_f00000.jpg,0,train,scvd
datasets\ucf_crime\Train\Assault\Assault037_x264_1450.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_286\V_286_f00004.jpg,1,train,rlvs
outputs\frames\rlvs\train\nonviolence\NV_289\NV_289_f00004.jpg,0,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse045_x264_1060.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_7\V_7_f00002.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos532_x264_23620.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_789\V_789_f00026.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos816_x264_2610.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_342610.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_228\V_228_f00001.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos200_x264_850.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos716_x264_5610.png,0,train,ucf
outputs\frames\scvd\train\violence\Weaponized558\Weaponized558_f00000.jpg,1,train,scvd
outputs\frames\scvd\train\violence\Violence631\Violence631_f00000.jpg,1,train,scvd
datasets\ucf_crime\Train\NormalVideos\Normal_Videos819_x264_20830.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_347\V_347_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\Fighting\Fighting050_x264_11270.png,1,train,ucf
datasets\ucf_crime\Train\Fighting\Fighting050_x264_13340.png,1,train,ucf
outputs\frames\rlvs\train\violence\V_362\V_362_f00003.jpg,1,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos308_x264_868610.png,0,train,ucf
outputs\frames\rlvs\train\violence\V_354\V_354_f00000.jpg,1,train,rlvs
datasets\ucf_crime\Train\Abuse\Abuse050_x264_1710.png,1,train,ucf
outputs\frames\rlvs\train\nonviolence\NV_47\NV_47_f00000.jpg,0,train,rlvs
datasets\ucf_crime\Train\NormalVideos\Normal_Videos307_x264_484170.png,0,train,ucf
datasets\ucf_crime\Train\NormalVideos\Normal_Videos776_x264_4450.png,0,train,ucf
